('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944888 function calls (920509 primitive calls) in 4.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1083    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1083    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       43    0.000    0.000    0.001    0.000 response.py:1328(_update_chunk_length)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       65    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
       10    0.000    0.000    0.008    0.001 enum.py:483(_create_)
       64    0.000    0.000    0.535    0.008 client.py:624(_safe_read)
      678    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.004    0.004 typing_extensions.py:1(<module>)
       77    0.000    0.000    0.009    0.000 _htmlparser.py:127(handle_startendtag)
    44/32    0.000    0.000    0.031    0.001 css_parser.py:579(parse_pseudo_class)
       58    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        2    0.000    0.000    0.001    0.000 cookiejar.py:467(parse_ns_headers)
      150    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      189    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      261    0.000    0.000    0.001    0.000 filter.py:629(_match_attribute_value_helper)
       63    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      233    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
    78/40    0.000    0.000    0.290    0.007 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      177    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 cookiejar.py:1394(_normalized_cookie_tuples)
      357    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
       20    0.000    0.000    0.001    0.000 enum.py:626(_find_new_)
      495    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
    95/42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.022    0.007 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
      437    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       28    0.000    0.000    0.001    0.000 parse.py:379(urlparse)
      246    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
    40/31    0.000    0.000    0.031    0.001 css_parser.py:746(parse_pseudo_open)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      189    0.000    0.000    0.019    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      543    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
  142/137    0.000    0.000    0.003    0.000 css_parser.py:385(_freeze_relations)
      519    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       64    0.000    0.000    0.003    0.000 typing.py:1147(copy_with)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
        6    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       50    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
        1    0.000    0.000    0.167    0.167 css_parser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      240    0.000    0.000    0.000    0.000 element.py:2355(get)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       21    0.000    0.000    0.000    0.000 dammit.py:1371(numeric_character_reference)
       64    0.000    0.000    0.003    0.000 abc.py:105(__new__)
      514    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       75    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
        1    0.000    0.000    4.292    4.292 financial.py:1(<module>)
       27    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       15    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
      438    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
        1    0.000    0.000    0.016    0.016 ssl.py:1(<module>)
       66    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      210    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       56    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      189    0.000    0.000    0.000    0.000 typing_extensions.py:177(_should_collect_from_parameters)
      411    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      131    0.000    0.000    0.001    0.000 typing.py:1143(<genexpr>)
       48    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       56    0.000    0.000    0.008    0.000 css_parser.py:1106(<listcomp>)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      351    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       28    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
    33/16    0.000    0.000    0.374    0.023 {built-in method builtins.__import__}
       10    0.000    0.000    0.012    0.001 enum.py:536(_convert_)
      189    0.000    0.000    0.001    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
       20    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
      337    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      408    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.036    0.018 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       65    0.000    0.000    0.000    0.000 parse.py:122(_coerce_args)
        1    0.000    0.000    0.184    0.184 client.py:206(_read_headers)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
        1    0.000    0.000    0.051    0.051 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f48ebf47490}
        1    0.000    0.000    0.006    0.006 ssl_.py:225(create_urllib3_context)
      242    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
       65    0.000    0.000    0.001    0.000 typing.py:664(__init__)
      303    0.000    0.000    0.000    0.000 enum.py:801(value)
        6    0.000    0.000    0.002    0.000 cookiejar.py:950(set_ok)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        3    0.000    0.000    0.000    0.000 typing.py:302(decorator)
      422    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      216    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
