('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855346 function calls (834383 primitive calls) in 5.671 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      385    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      140    0.000    0.000    0.009    0.000 sre_parse.py:97(closegroup)
       20    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
        1    0.000    0.000    0.176    0.176 client.py:206(_read_headers)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f0468d8c670}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      317    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      360    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.004    0.004 quoprimime.py:1(<module>)
       17    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
      235    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       49    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       44    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.000    0.000 typing_extensions.py:603(_get_protocol_attrs)
       41    0.000    0.000    0.000    0.000 typing_extensions.py:3049(_check_generic)
      256    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       35    0.000    0.000    0.002    0.000 abc.py:105(__new__)
        5    0.000    0.000    0.001    0.000 feedparser.py:101(push)
    25/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
