('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855433 function calls (834462 primitive calls) in 4.877 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
       18    0.000    0.000    0.000    0.000 typing.py:1217(<genexpr>)
       18    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       18    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       17    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       17    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
       17    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       17    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
       17    0.005    0.000    0.011    0.001 enum.py:180(__new__)
       17    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
